Accident_Index,longitude,latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Date
14154,74.11634646,15.21477746,1,3,1,1,6,09:00,29,E09000015,3,312,6,30,3,4,3,404,0,0,1,1,1,0,0,1,2,E01002129,43401.00
14155,74.01322707,15.30763648,1,2,2,2,1,14:05,29,E09000015,5,0,6,30,6,4,6,0,0,0,1,1,1,0,0,1,1,E01002154,43431.00
14156,74.06331192,15.22281471,1,3,1,1,4,08:47,29,E09000015,4,461,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002118,43427.00
14157,74.00342082,15.35207984,1,3,2,3,2,11:50,29,E09000015,3,409,6,30,3,2,3,409,0,0,1,1,2,1,0,1,1,E01002126,43425.00
14158,74.05805057,15.25340523,1,3,2,1,3,19:01,29,E09000015,3,410,3,40,9,4,6,0,0,0,4,8,2,0,0,1,1,E01002144,43426.00
14159,73.94953836,15.22003574,1,3,1,1,6,07:48,29,E09000015,5,0,7,30,5,4,6,0,0,0,1,1,2,0,0,1,1,E01002202,43436.00
14160,74.0509223,15.32614302,1,3,2,1,2,09:47,29,E09000015,6,0,6,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01002173,43418.00
14161,74.05186142,15.36318695,1,3,1,1,6,22:44,29,E09000015,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01002184,43422.00
14162,74.12986655,15.26514232,1,3,3,1,7,11:15,29,E09000015,6,0,6,30,6,2,3,4090,0,5,1,1,1,0,0,1,2,E01002157,43430.00
14163,73.97201244,15.26777355,1,3,2,4,2,22:17,29,E09000015,3,4008,6,30,3,4,6,0,0,0,4,1,2,0,0,2,1,E01002148,43432.00
14164,73.9594711,15.24395537,1,3,2,1,4,17:55,29,E09000015,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002113,43427.00
14165,74.00694156,15.26898326,1,3,1,1,5,18:55,29,E09000015,5,0,6,30,9,4,5,0,0,0,4,2,2,0,0,1,1,E01002169,43435.00
14166,74.01540536,15.26418257,1,3,2,1,2,18:12,29,E09000015,3,4140,1,30,1,4,5,0,0,0,4,2,2,0,0,1,1,E01002202,43439.00
14167,73.97779079,15.19836478,1,2,2,1,2,07:41,29,E09000015,5,0,1,30,1,4,5,0,0,0,1,1,1,0,0,1,1,E01002208,43439.00
14168,74.03932125,15.25117354,1,3,2,1,2,10:20,29,E09000015,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002129,43439.00
14169,74.06782866,15.24021285,1,3,1,1,6,18:55,29,E09000015,5,0,6,30,9,4,6,0,0,0,4,2,2,0,0,1,1,E01002110,43436.00
14170,74.12358479,15.17512521,1,3,1,3,7,20:22,29,E09000015,6,0,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01002210,43437.00
14171,74.10312779,15.20939143,1,3,2,1,6,06:00,29,E09000015,3,409,6,30,3,4,6,0,0,0,4,2,2,0,0,1,2,E01002232,43436.00
14172,74.1340068,15.20288918,1,3,2,1,1,17:36,26,E09000017,4,466,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002480,43438.00
14173,74.13101055,15.32361523,1,2,2,1,3,15:50,29,E09000015,5,0,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01002209,43447.00
14174,74.08293225,15.32414917,1,2,1,1,1,23:15,29,E09000015,3,409,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01002130,43452.00
14175,74.10369686,15.23708611,1,3,1,1,2,20:11,29,E09000015,3,404,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01002137,43334.00
14176,73.98420091,15.281109,1,3,2,1,1,20:10,28,E09000005,3,4006,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000541,43452.00
14177,74.00985908,15.36487653,1,2,2,1,5,18:50,29,E09000015,5,0,6,30,6,2,5,0,0,5,4,1,1,0,0,1,1,E01002162,43449.00
14178,74.13814695,15.19525999,1,3,2,2,1,02:30,28,E09000005,3,404,1,30,1,4,3,409,0,0,4,2,2,0,0,1,2,E01000568,43438.00
14179,74.10419453,15.35799197,1,3,2,1,2,12:09,29,E09000015,3,404,6,30,6,2,3,404,0,5,1,1,1,0,0,1,1,E01002157,43446.00
14180,74.05220857,15.26717677,1,2,1,1,2,15:10,30,E09000003,3,5,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002119,43446.00
14181,73.96975146,15.20510938,1,3,1,1,3,20:34,29,E09000015,3,410,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002187,43447.00
14182,73.97974884,15.30391737,1,3,2,1,5,17:28,29,E09000015,3,4140,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002203,43442.00
14183,74.08593962,15.36119792,1,2,2,1,2,14:45,26,E09000017,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,E01002496,43425.00
14184,74.03522509,15.18369812,1,3,2,1,4,08:40,29,E09000015,6,0,6,30,3,4,4,457,0,0,1,1,1,0,0,1,2,E01002129,43434.00
14185,74.12229295,15.1896934,1,3,2,1,6,07:50,29,E09000015,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,2,E01002108,43429.00
14186,74.03654956,15.28366124,1,3,1,1,6,16:25,29,E09000015,6,0,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01002141,43436.00
14187,74.14330735,15.22456615,1,3,2,1,4,11:57,29,E09000015,3,404,6,30,3,4,6,0,0,0,1,2,2,0,0,1,2,E01002189,43427.00
14188,74.02779039,15.30416337,1,3,2,1,2,20:31,29,E09000015,4,461,6,30,3,4,5,0,0,0,4,1,1,0,0,1,1,E01002118,43453.00
14189,74.12645151,15.31172491,1,3,2,1,1,14:43,29,E09000015,3,404,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002160,43452.00
14190,73.98746659,15.1792279,1,3,2,1,3,19:17,30,E09000003,3,5,6,20,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002119,43454.00
14191,74.06126987,15.20732882,1,3,4,1,3,21:00,29,E09000015,3,404,6,30,8,4,6,0,0,0,4,1,2,0,0,1,1,E01002186,43454.00
14192,74.04984562,15.17376849,1,3,3,1,4,18:26,29,E09000015,3,404,6,30,3,4,3,404,0,0,4,1,2,0,0,1,1,E01002157,43455.00
14193,74.09403029,15.26445978,1,3,2,1,1,21:24,29,E09000015,3,4140,6,30,6,4,6,0,0,0,4,2,2,0,0,2,1,E01002114,43452.00
14194,74.09214202,15.23857141,1,3,2,1,5,10:15,29,E09000015,4,463,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002189,43456.00
14195,74.12212901,15.36148499,1,3,1,1,2,09:55,29,E09000015,5,0,6,30,3,4,6,0,0,0,1,1,2,0,0,1,1,E01002154,43460.00
14196,74.07871643,15.26202008,1,3,1,1,4,08:15,29,E09000015,3,410,6,30,3,2,3,4140,0,5,1,8,4,0,0,1,1,E01002226,43462.00
14197,73.94950327,15.27588543,1,2,1,2,1,04:16,29,E09000015,3,404,6,30,6,4,6,0,0,0,4,1,2,0,0,1,1,E01002129,43326.00
14198,74.13898295,15.22009469,1,3,2,1,2,08:38,29,E09000015,3,409,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002130,43446.00
14199,73.97252356,15.28307062,1,3,2,1,7,22:20,28,E09000005,3,4006,3,30,0,-1,-1,0,0,4,4,1,2,0,0,1,1,E01000536,43465.00
14200,74.10829456,15.26122654,1,2,1,1,7,11:30,29,E09000015,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002172,43451.00
14201,73.97624354,15.29008073,1,3,2,3,4,13:05,29,E09000015,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002202,43455.00
14202,73.96535591,15.36035219,1,3,2,1,2,21:50,29,E09000015,3,404,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01002129,43453.00
14203,74.10727217,15.36336118,1,3,2,2,5,22:10,29,E09000015,3,4140,3,40,0,-1,-1,0,0,0,4,1,4,0,0,1,1,E01002203,43463.00
14204,73.96864957,15.21894705,1,3,2,1,7,18:00,29,E09000015,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01002163,43458.00
14205,73.97665213,15.30572909,1,3,2,1,5,15:50,28,E09000005,3,4006,6,30,3,4,6,0,0,1,1,1,1,0,0,1,1,E01000536,43456.00
14206,74.0135167,15.25128596,1,3,2,1,5,15:15,29,E09000015,5,0,6,30,0,-1,-1,0,0,0,1,2,2,0,0,1,2,E01002111,43428.00
14207,74.1225102,15.24875772,1,3,2,1,3,18:46,29,E09000015,3,312,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01002213,43363.00
14208,74.01929874,15.3600099,1,2,1,1,4,16:00,29,E09000015,3,409,6,30,0,-1,-1,0,0,0,1,1,1,0,0,2,1,E01002144,43364.00
14209,74.0686871,15.23601949,1,3,2,1,7,15:33,29,E09000015,5,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01002183,43458.00
14210,73.963969,15.22316678,1,3,2,1,4,15:10,28,E09000005,3,409,3,40,1,4,3,404,0,0,1,1,1,0,0,1,2,E01002126,43462.00
14211,73.94993332,15.20285426,1,3,2,1,1,13:00,28,E09000005,3,4006,6,30,3,4,6,0,0,4,1,1,2,0,0,1,1,E01000536,43452.00
14212,74.08501422,15.29027935,1,3,3,1,7,22:00,28,E09000005,3,4006,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01002175,43465.00
14213,74.08681539,15.23278851,1,3,2,1,7,20:30,28,E09000005,3,404,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01000568,43101.00
14214,73.96335226,15.22530678,1,3,2,1,1,15:45,28,E09000005,3,4000,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000533,43102.00
14215,74.01189223,15.22701609,1,3,2,1,1,14:25,28,E09000005,3,404,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000621,43102.00
14216,74.04326806,15.29703202,1,3,2,1,1,15:40,28,E09000005,3,406,3,70,5,2,3,404,0,0,1,1,1,0,0,1,1,E01000621,43102.00
14217,74.07925749,15.17468922,1,3,2,1,3,20:26,28,E09000005,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000630,43104.00
14218,74.03874669,15.36159314,1,3,1,1,5,15:57,28,E09000005,5,0,6,30,6,4,6,0,0,4,1,1,1,0,0,1,1,E01000581,43106.00
14219,74.06448367,15.32531897,1,3,1,1,4,13:13,28,E09000005,3,5,6,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,E01000553,43112.00
14220,74.05138105,15.34627022,1,3,1,1,2,18:50,28,E09000005,4,4557,6,30,6,4,4,4565,0,0,4,2,2,0,0,1,1,E01000617,43110.00
14221,74.14183142,15.1859997,1,3,2,1,3,17:25,28,E09000005,5,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000587,43111.00
14222,74.11684487,15.19998285,1,3,1,1,4,22:30,28,E09000005,4,414,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000544,43112.00
14223,74.04709651,15.28532231,1,3,2,1,1,10:30,28,E09000005,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000533,43109.00
14224,74.0418669,15.22456181,1,3,2,1,2,11:02,28,E09000005,3,404,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01000531,43110.00
14225,74.01588128,15.30324813,1,3,2,1,1,18:05,28,E09000005,3,4127,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01002135,43109.00
14226,74.01160409,15.34059191,1,3,2,2,7,07:20,28,E09000005,3,4006,6,30,3,4,5,0,0,0,4,1,2,0,0,1,1,E01000542,43108.00
14227,74.05971483,15.19342778,1,3,1,1,1,20:40,28,E09000005,3,404,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000612,43116.00
14228,74.03237893,15.34963818,1,3,2,1,7,20:05,28,E09000005,3,404,6,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01000568,43101.00
14229,74.10804063,15.35416862,1,3,1,1,4,10:35,28,E09000005,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000596,43112.00
14230,74.12697065,15.32254962,1,3,2,1,5,21:00,27,E09000009,5,0,6,30,7,2,5,0,0,5,4,1,1,0,0,1,1,E01001247,43106.00
14231,74.04379835,15.3154222,1,3,2,1,3,08:30,28,E09000005,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000590,43118.00
14232,74.06146083,15.3316391,1,3,1,1,5,19:49,28,E09000005,3,4088,6,30,3,2,6,0,0,5,4,1,2,0,0,1,1,E01000481,43113.00
14233,74.04579569,15.27606395,1,3,1,1,5,17:45,28,E09000005,5,0,1,30,1,4,5,0,0,0,4,1,1,0,0,1,1,E01000535,43113.00
14234,73.97099275,15.18830368,1,3,2,1,3,17:30,28,E09000005,3,4006,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000543,43118.00
14235,74.09544224,15.2628578,1,3,2,1,3,21:20,28,E09000005,6,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,2,E01000611,43111.00
14236,74.10261226,15.28129005,1,2,2,1,3,07:50,27,E09000009,4,4492,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01001246,43104.00
14237,73.95621778,15.35202359,1,3,1,1,5,12:40,28,E09000005,3,407,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000560,43113.00
14238,74.0848392,15.27882446,1,3,1,1,3,17:50,28,E09000005,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000487,43118.00
14239,74.11581497,15.20241003,1,3,2,1,7,02:41,28,E09000005,5,0,1,30,1,4,5,0,0,0,4,1,1,0,0,1,1,E01000535,43122.00
14240,74.01765405,15.28960789,1,3,2,1,6,06:45,28,E09000005,3,406,7,30,3,4,3,406,0,0,4,1,1,0,0,1,2,E01000627,43121.00
14241,74.14805856,15.18616794,1,3,1,1,6,17:35,28,E09000005,3,4006,6,30,6,2,4,454,0,5,4,1,1,0,0,1,1,E01000518,43114.00
14242,74.04893497,15.19724074,1,3,2,2,1,09:00,28,E09000005,3,4089,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000614,43116.00
14243,74.14556789,15.23132723,1,3,2,2,5,13:23,28,E09000005,3,4088,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000577,43120.00
14244,74.08126518,15.17833261,1,3,2,1,1,17:45,28,E09000005,3,406,3,40,0,-1,-1,0,0,0,4,1,1,0,0,1,3,E01000600,43109.00
14245,74.08616506,15.25670759,1,3,2,2,2,14:20,28,E09000005,3,404,6,30,0,-1,-1,0,0,1,1,1,1,0,0,1,1,E01000521,43117.00
14246,74.06658765,15.31999674,1,3,2,1,2,08:30,29,E09000015,5,0,6,30,3,2,3,4140,0,5,1,1,1,0,0,1,3,E01000589,43124.00
14247,74.02987959,15.17966998,1,3,3,1,3,10:00,28,E09000005,6,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01000643,43125.00
14248,74.08125264,15.19615358,1,2,2,1,7,16:58,28,E09000005,5,0,1,30,2,4,5,0,0,0,4,2,2,0,0,1,1,E01000590,43122.00
14249,74.07033859,15.30748438,1,3,1,1,1,12:40,28,E09000005,3,4088,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000578,43102.00
14250,73.99415333,15.24723863,1,3,2,1,7,16:20,28,E09000005,3,4006,6,30,6,2,3,4006,0,0,1,1,1,0,0,1,2,E01000518,43108.00
14251,74.00886506,15.27919836,1,3,2,1,7,19:47,28,E09000005,3,4005,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000606,43115.00
14252,74.12325166,15.262941,1,3,3,2,3,17:45,28,E09000005,3,4006,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000514,43118.00
14253,74.12624645,15.24036048,1,3,3,2,3,13:16,28,E09000005,3,4140,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000481,43125.00
14254,74.1483943,15.29898017,1,3,2,2,3,09:06,28,E09000005,5,0,6,30,3,4,5,0,0,1,1,1,1,0,0,1,1,E01000550,43125.00
14255,74.01435788,15.20703214,1,3,3,2,1,19:05,28,E09000005,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000562,43130.00
14256,74.00946394,15.34346863,1,3,2,2,3,18:00,28,E09000005,3,5,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000553,43125.00
14257,73.96791498,15.24491512,1,3,2,1,7,10:30,28,E09000005,3,4088,7,30,3,4,3,406,0,0,1,1,1,0,0,1,2,E01000627,43115.00
14258,74.12537272,15.24484798,1,3,2,1,7,14:40,28,E09000005,3,404,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000620,43129.00
14259,73.96751143,15.35463563,1,3,1,1,6,17:22,28,E09000005,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000614,43128.00
14260,74.14498006,15.25710694,1,3,2,1,4,21:15,28,E09000005,3,4088,6,30,8,4,6,0,0,0,4,1,2,0,0,1,1,E01000480,43119.00
14261,74.04380992,15.35605594,1,3,2,3,7,18:00,28,E09000005,3,406,3,40,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000602,43129.00
14262,73.95107739,15.18390237,1,3,2,1,4,09:20,28,E09000005,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000566,43112.00
14263,74.04777952,15.24409855,1,3,2,1,4,19:30,28,E09000005,3,4089,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000578,43119.00
14264,74.07877683,15.17824156,1,3,3,1,4,21:03,28,E09000005,6,0,6,30,3,4,6,0,0,0,4,1,2,0,0,1,1,E01000523,43119.00
14265,74.07013264,15.36534937,1,3,1,1,7,11:42,28,E09000005,3,407,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000640,43122.00
14266,73.95748272,15.31442177,1,3,1,1,2,17:30,28,E09000005,3,407,6,30,3,2,5,0,0,5,4,1,1,0,0,1,1,E01000644,43103.00
14267,74.05675922,15.31764857,1,3,2,1,2,20:10,28,E09000005,5,0,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000534,43131.00
14268,73.98297526,15.24612447,1,3,2,2,1,00:10,28,E09000005,3,404,6,30,3,2,3,4002,0,5,4,1,1,0,0,1,1,E01000529,43123.00
14269,74.00838138,15.25983982,1,3,5,1,1,08:58,28,E09000005,5,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000510,43130.00
14270,73.98386991,15.26894109,1,3,2,1,5,10:15,28,E09000005,3,4127,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000562,43120.00
14271,73.97960264,15.30340539,1,2,1,1,4,14:23,28,E09000005,3,404,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000610,43126.00
14272,74.12523606,15.25844272,1,3,1,1,2,14:09,2,E09000007,3,5,6,30,3,4,6,0,0,0,1,2,2,0,0,1,1,E01000548,43117.00
14273,74.08457593,15.33194142,1,3,1,1,7,16:10,2,E09000007,3,5,6,30,3,2,3,5,0,0,1,2,2,0,0,1,1,E01000548,43122.00
14274,74.06690272,15.28173527,1,3,2,1,4,22:18,28,E09000005,5,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000499,43126.00
14275,73.95894716,15.31625255,1,2,1,1,2,16:30,28,E09000005,5,0,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01000571,43124.00
14276,74.04128844,15.23826667,1,3,1,1,6,00:01,28,E09000005,3,4140,1,30,1,4,5,0,0,0,4,1,1,0,0,1,1,E01000479,43135.00
14277,73.98181142,15.32828489,1,3,2,1,2,22:00,28,E09000005,3,407,6,30,3,4,6,0,0,0,4,1,1,0,0,1,3,E01000644,43131.00
14278,74.13623741,15.26655987,1,3,2,2,3,14:33,12,E09000020,3,404,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002852,43132.00
14279,73.9958631,15.2351037,1,3,1,1,4,20:20,28,E09000005,3,4088,3,30,0,-1,-1,0,0,0,4,1,2,0,0,1,1,E01000482,43133.00
14280,74.12439437,15.25365472,1,3,2,1,4,01:06,28,E09000005,3,4005,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000606,43147.00
14281,74.06939451,15.21209758,1,3,1,1,3,12:30,28,E09000005,3,404,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,3,E01000529,43125.00
14282,74.14736401,15.36657867,1,3,2,1,7,14:04,28,E09000005,3,4088,6,30,3,4,5,0,0,4,1,1,1,0,0,1,1,E01000511,43157.00
14283,73.971688,15.33990031,1,3,2,1,4,13:20,28,E09000005,3,4088,6,30,6,4,5,0,0,0,1,1,1,0,0,1,3,E01000481,43112.00
14284,73.94837408,15.33509892,1,3,1,1,5,18:10,29,E09000015,6,0,6,30,8,4,6,0,0,0,4,1,1,0,0,1,1,E01002198,43176.00
14285,74.11881672,15.21416919,1,3,2,1,1,10:06,28,E09000005,6,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,1,E01000554,43179.00
14286,73.98205996,15.32586235,1,3,1,1,2,18:26,29,E09000015,3,410,3,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01002226,43215.00
14287,74.05470855,15.30294104,1,3,2,1,2,19:55,28,E09000005,3,4088,3,30,3,2,6,0,0,5,1,1,2,0,0,1,1,E01000481,43117.00
14288,73.96989864,15.28323217,1,3,2,1,6,17:25,28,E09000005,3,4088,6,30,3,4,5,0,0,0,1,1,2,0,0,1,1,E01000480,43163.00
14289,73.97566748,15.33426176,1,3,2,1,1,13:45,28,E09000005,5,0,6,30,3,4,6,0,0,0,1,1,1,0,0,1,3,E01000590,43137.00
14290,74.105111,15.22114638,1,3,2,1,3,20:15,28,E09000005,5,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000586,43132.00
14291,74.10081514,15.24549328,1,3,2,1,1,20:06,28,E09000005,6,0,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000620,43109.00
14292,74.07051045,15.32777091,1,3,3,1,6,19:45,28,E09000005,4,454,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01000518,43142.00
14293,74.02940048,15.18003917,1,3,2,1,1,19:38,28,E09000005,3,4006,6,30,3,4,6,0,0,0,4,1,1,0,0,1,1,E01000513,43137.00
14294,74.07228668,15.26172824,1,3,2,1,3,16:10,28,E09000005,5,0,6,30,3,4,6,0,0,1,1,2,2,0,0,1,1,E01000586,43132.00
14295,74.05363769,15.23981721,1,3,2,1,6,11:10,28,E09000005,3,404,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000521,43135.00
14296,74.1190164,15.27767178,1,3,1,1,6,17:05,28,E09000005,3,4006,6,30,0,-1,-1,0,0,0,4,2,2,0,0,1,1,E01000542,43142.00
14297,73.96038486,15.26727847,1,3,2,1,3,21:20,28,E09000005,3,4088,6,30,3,4,5,0,0,0,4,1,1,0,0,1,1,E01000480,43139.00
14298,74.05977711,15.28705524,1,3,1,1,7,06:57,28,E09000005,3,404,6,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000610,43143.00
14299,74.11659471,15.25974841,1,3,2,2,3,16:13,28,E09000005,3,4088,6,30,3,4,3,4088,0,1,1,7,2,0,0,1,3,E01000571,43132.00
14300,74.15075587,15.26788538,1,3,1,1,4,21:00,28,E09000005,6,0,6,30,0,-1,-1,0,0,0,4,1,1,0,0,1,1,E01000558,43140.00
14301,74.02145471,15.1840527,1,3,2,1,2,18:26,28,E09000005,6,0,1,30,2,4,6,0,0,0,1,1,1,0,0,1,1,E01000639,43138.00
14302,74.114157,15.23026867,1,3,1,1,5,08:20,28,E09000005,4,413,6,30,9,4,4,450,0,0,1,8,2,0,0,1,1,E01000586,43141.00
14303,74.08656667,15.34739151,1,3,2,1,5,08:56,28,E09000005,4,451,6,30,6,2,5,0,0,5,1,1,2,0,0,1,1,E01000583,43141.00
14304,74.08598654,15.331209,1,3,2,1,6,09:50,28,E09000005,3,404,2,30,6,2,3,404,0,5,1,1,1,0,0,1,1,E01000529,43142.00
14305,74.07358503,15.22648518,1,3,2,1,4,06:05,28,E09000005,3,4088,6,30,3,4,3,4088,0,0,4,1,1,0,0,1,1,E01000506,43147.00
14306,74.02019462,15.34698232,1,3,2,1,6,11:10,28,E09000005,5,0,6,30,7,4,6,0,0,0,1,1,1,0,0,1,1,E01000575,43149.00
14307,74.143427,15.35906039,1,3,2,1,3,08:00,28,E09000005,6,0,1,30,1,4,6,0,0,0,1,3,2,0,0,1,1,E01000572,43153.00
14308,74.12748511,15.35860943,1,3,1,1,2,21:14,28,E09000005,4,4557,6,40,3,2,3,406,0,5,4,3,2,0,0,1,1,E01000602,43152.00
14309,74.13786062,15.28852534,1,3,2,2,7,02:03,28,E09000005,3,4088,6,30,3,2,6,0,0,0,4,1,2,0,0,1,1,E01000482,43143.00
14310,74.12037395,15.32061702,1,3,2,1,7,04:45,28,E09000005,3,406,6,30,5,4,3,404,0,0,4,1,1,0,0,1,2,E01000621,43136.00
14311,74.04307311,15.23808733,1,3,2,1,4,18:25,28,E09000005,3,406,7,50,5,4,6,0,0,0,4,1,1,0,0,1,2,E01000604,43147.00
14312,74.11523925,15.27259071,1,2,1,1,2,14:10,28,E09000005,3,4006,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,E01000515,43159.00
14313,74.07812946,15.23084036,1,3,2,1,7,18:42,28,E09000005,3,4005,6,30,8,4,4,456,0,0,4,1,1,0,0,1,1,E01000472,43150.00
14314,74.01936234,15.18656372,1,3,1,1,5,17:56,28,E09000005,3,407,6,30,0,-1,-1,0,0,1,4,2,2,0,0,1,1,E01000559,43148.00
14315,73.96078827,15.18814443,1,3,1,1,6,15:38,28,E09000005,3,404,6,30,0,-1,-1,0,0,0,5,1,1,0,0,1,1,E01000636,43156.00
14316,74.13071597,15.20743712,1,2,2,1,6,17:50,28,E09000005,3,4006,3,30,3,4,6,0,0,0,4,2,2,0,0,1,1,E01000568,43149.00
14317,74.03577743,15.20445719,1,3,2,1,3,11:20,28,E09000005,3,4088,6,30,3,1,6,0,0,4,1,1,2,0,0,1,1,E01000506,43153.00
14318,74.00441376,15.28887461,1,3,1,1,6,09:00,28,E09000005,5,0,6,30,3,4,3,5,0,0,1,1,1,0,0,1,1,E01000499,43149.00
14319,74.05845927,15.30384722,1,3,1,1,2,08:25,28,E09000005,4,453,6,30,0,-1,-1,0,0,0,1,1,2,0,0,1,1,E01000508,43159.00
14320,74.07713011,15.18223171,1,3,2,1,2,13:05,28,E09000005,3,404,6,30,8,4,6,0,0,0,1,1,1,0,0,1,1,E01000533,43138.00
14321,73.95559571,15.32306118,1,3,2,1,2,17:45,28,E09000005,4,4557,1,30,1,4,6,0,0,0,4,1,1,0,0,1,1,E01000601,43138.00
14322,74.04651809,15.30010135,1,3,2,2,2,20:04,30,E09000003,6,0,2,30,3,2,3,5,0,5,4,2,2,0,0,1,1,E01000588,43145.00
